date,user_id,monthly_income,monthly_expense_total,savings_rate,budget_goal,financial_scenario,credit_score,debt_to_income_ratio,loan_payment,investment_amount,subscription_services,emergency_fund,transaction_count,fraud_flag,discretionary_spending,essential_spending,income_type,rent_or_mortgage,category,cash_flow_status,financial_advice_score,financial_stress_level,actual_savings,savings_goal_met,year,month,year_month,net_income
2019-10-28,1045,3832.71,3230.77,0.23,3178.17,normal,611,0.19,316.34,452.59,9,1095.63,73,0,585.69,3029.36,mixed,1254.48,investments,positive,62.5,medium,601.94,0,2019,10,2019-10,601.94
2019-11-27,1357,2136.79,3444.29,0.34,2685.16,normal,669,0.39,285.31,528.05,5,1967.83,53,0,283.44,2492.21,freelance,773.98,entertainment,negative,36.1,high,0.0,0,2019,11,2019-11,-1307.5
2019-12-27,1403,5462.92,3049.29,0.29,2973.21,recession,670,0.23,679.87,275.58,2,1431.37,41,0,582.65,1483.81,salary,1502.86,groceries,positive,39.0,low,2413.63,0,2019,12,2019-12,2413.63
2020-01-26,1884,2110.66,2707.86,0.24,1420.73,recession,647,0.32,331.5,563.48,6,1153.64,86,0,309.46,3236.23,salary,790.3,insurance,positive,17.2,medium,0.0,0,2020,1,2020-01,-597.2000000000003
2020-02-25,1675,3507.29,2661.4,0.26,3493.12,normal,739,0.4,650.88,220.05,7,1405.48,74,0,248.39,2825.21,salary,1009.85,investments,neutral,11.2,medium,845.89,0,2020,2,2020-02,845.8899999999999
2020-03-26,1750,2098.58,4614.09,0.16,2896.61,normal,620,0.29,655.47,284.89,1,1381.6,58,0,494.7,1332.65,salary,868.9,dining out,positive,94.2,low,0.0,0,2020,3,2020-03,-2515.51
2020-04-25,1222,3677.65,3489.82,0.3,2068.33,normal,631,0.13,511.94,347.32,7,1729.56,66,1,362.3,2576.38,mixed,1284.68,groceries,negative,50.0,low,187.83,0,2020,4,2020-04,187.82999999999993
2020-05-25,1050,1884.19,2764.11,0.29,3904.13,normal,676,0.41,550.79,394.33,6,1692.29,59,0,633.22,2517.59,mixed,1187.56,dining out,positive,68.6,low,0.0,0,2020,5,2020-05,-879.9200000000001
2020-06-24,1234,3697.31,3523.56,0.17,3122.47,normal,743,0.52,351.55,247.39,6,493.09,62,0,516.89,2177.0,salary,919.0,dining out,negative,90.6,medium,173.75,0,2020,6,2020-06,173.75
2020-07-24,1447,4726.33,3948.38,0.14,2539.69,normal,691,0.48,369.67,409.83,7,1320.35,96,0,478.5,1850.42,salary,929.73,transportation,negative,73.7,low,777.95,0,2020,7,2020-07,777.9499999999998
2020-08-23,1347,2911.22,1886.67,0.17,2330.65,normal,631,0.52,448.13,112.31,7,1431.26,35,0,755.99,1737.44,salary,1501.13,investments,neutral,43.5,high,1024.55,0,2020,8,2020-08,1024.5499999999997
2020-09-22,1918,3972.53,2793.73,0.22,2700.51,normal,759,0.44,469.72,955.5,7,1359.6,82,0,563.8,2305.04,mixed,1187.25,insurance,neutral,79.7,low,1178.8,0,2020,9,2020-09,1178.8000000000002
2020-10-22,1879,5136.85,2474.84,0.28,2837.11,inflation,694,0.25,428.59,529.61,7,1045.61,64,0,435.07,2900.43,salary,943.32,healthcare,neutral,81.4,low,2662.01,0,2020,10,2020-10,2662.01
2020-11-21,1057,4124.22,2712.7,0.26,3029.37,normal,706,0.21,308.5,258.74,5,615.45,94,0,643.02,1682.26,salary,839.09,utilities,neutral,78.3,low,1411.52,0,2020,11,2020-11,1411.5200000000004
2020-12-21,1129,4622.48,2219.51,0.18,2541.05,normal,661,0.46,318.48,591.38,3,2306.84,27,0,260.55,1651.01,salary,903.63,groceries,negative,64.1,low,2402.97,0,2020,12,2020-12,2402.9699999999993
2021-01-20,1680,4859.63,2830.71,0.4,2665.05,normal,609,0.32,787.17,459.74,2,768.35,31,0,186.89,1921.24,salary,1611.29,healthcare,positive,39.8,low,2028.92,0,2021,1,2021-01,2028.92
2021-02-19,1621,5414.37,3328.5,0.1,2707.47,inflation,665,0.56,540.72,512.29,5,1233.88,41,0,468.01,2460.65,salary,964.77,transportation,positive,47.7,medium,2085.87,0,2021,2,2021-02,2085.87
2021-03-21,1998,6042.51,2246.36,0.05,2185.71,inflation,620,0.5,419.3,579.51,5,1513.09,22,0,383.93,1975.73,salary,423.02,dining out,positive,27.9,medium,3796.15,1,2021,3,2021-03,3796.15
2021-04-20,1058,4422.94,2989.14,0.32,2506.2,normal,662,0.38,440.32,326.25,9,322.35,90,0,809.16,1000.0,salary,1618.9,groceries,negative,27.3,high,1433.8,0,2021,4,2021-04,1433.7999999999997
2021-05-20,1334,4012.76,2193.69,0.3,3328.25,normal,617,0.53,720.24,0.0,6,1168.02,96,0,183.69,1375.03,freelance,489.72,entertainment,negative,65.4,medium,1819.07,0,2021,5,2021-05,1819.0700000000002
2021-06-19,1256,3163.61,4000.56,0.22,2749.02,recession,619,0.29,377.91,686.52,6,1411.56,96,0,220.76,2389.84,salary,1197.82,entertainment,negative,89.5,low,0.0,0,2021,6,2021-06,-836.9499999999998
2021-07-19,1421,2980.36,2083.75,0.15,3026.26,recession,690,0.23,365.45,213.49,6,453.89,78,0,96.31,2709.84,salary,1127.79,rent,positive,84.0,medium,896.61,0,2021,7,2021-07,896.6100000000001
2021-08-18,1456,3515.99,3276.12,0.06,3289.32,inflation,633,0.12,479.01,353.98,8,347.98,38,0,482.87,2536.01,salary,1042.06,groceries,positive,98.8,low,239.87,0,2021,8,2021-08,239.8699999999999
2021-09-17,1974,3855.03,2510.28,0.4,3054.35,normal,736,0.52,247.74,223.91,9,497.88,22,0,352.05,2030.87,freelance,994.3,insurance,positive,80.7,low,1344.75,0,2021,9,2021-09,1344.75
2021-10-17,1730,3725.58,3430.91,0.08,2739.51,normal,771,0.43,588.68,736.18,9,890.21,70,0,0.0,1675.65,salary,834.94,healthcare,positive,88.5,medium,294.67,0,2021,10,2021-10,294.6700000000001
2021-11-16,1340,5423.61,3424.74,0.39,2646.35,recession,718,0.2,330.56,610.25,4,735.81,86,0,546.81,2287.09,salary,1768.19,groceries,positive,62.6,medium,1998.87,0,2021,11,2021-11,1998.87
2021-12-16,1794,5273.97,2583.11,0.16,3373.36,recession,602,0.44,426.18,621.56,7,898.01,71,0,547.92,2573.98,salary,1370.0,transportation,positive,72.8,medium,2690.86,0,2021,12,2021-12,2690.86
2022-01-15,1776,4276.99,2785.21,0.31,3381.24,inflation,731,0.22,480.68,282.26,7,2344.53,29,0,482.68,2102.28,freelance,866.95,education,positive,46.9,high,1491.78,0,2022,1,2022-01,1491.7799999999997
2022-02-14,1173,4781.39,3279.82,0.29,2503.33,recession,691,0.36,742.09,0.0,7,0.0,62,0,119.8,2368.1,salary,1530.57,utilities,positive,22.2,high,1501.57,0,2022,2,2022-02,1501.5700000000002
2022-03-16,1482,4457.69,3522.27,0.3,2887.95,normal,632,0.13,390.65,0.0,3,1154.66,35,0,469.88,2333.02,salary,1607.09,entertainment,neutral,51.5,medium,935.42,0,2022,3,2022-03,935.4199999999996
2022-04-15,1913,3782.73,2241.48,0.16,3606.0,normal,689,0.5,564.04,278.85,9,790.98,25,0,260.49,2092.8,salary,1181.67,rent,negative,4.2,low,1541.25,0,2022,4,2022-04,1541.25
2022-05-15,1529,3933.49,4154.43,0.37,3058.63,normal,635,0.13,880.34,552.72,3,210.08,52,0,598.5,3256.12,salary,1213.39,transportation,negative,98.0,low,0.0,0,2022,5,2022-05,-220.9400000000005
2022-06-14,1737,4047.29,2359.97,0.07,3092.41,normal,599,0.4,602.42,342.41,3,857.38,21,0,662.09,1979.19,salary,969.63,rent,neutral,77.9,low,1687.32,0,2022,6,2022-06,1687.3200000000002
2022-07-14,1205,4076.19,3117.55,0.32,2422.02,normal,728,0.59,358.86,160.08,5,471.82,70,0,482.28,2970.22,salary,519.17,education,negative,4.2,high,958.64,0,2022,7,2022-07,958.6399999999999
2022-08-13,1756,4155.26,3157.23,0.17,2270.44,normal,720,0.27,743.05,245.03,2,1347.98,27,0,697.79,2778.93,salary,1396.85,insurance,positive,11.9,low,998.03,0,2022,8,2022-08,998.0300000000002
2022-09-12,1957,1900.97,3577.86,0.4,3450.97,recession,744,0.31,548.82,237.28,9,1398.07,35,0,719.91,2969.82,salary,1418.73,education,positive,5.2,low,0.0,0,2022,9,2022-09,-1676.89
2022-10-12,1983,2402.19,2901.92,0.06,2919.87,normal,705,0.18,686.61,461.51,6,1569.13,54,0,702.66,2610.4,salary,1762.45,insurance,positive,39.9,low,0.0,0,2022,10,2022-10,-499.73
2022-11-11,1206,3764.31,2918.07,0.22,2831.01,normal,662,0.44,671.29,0.0,4,789.59,96,0,619.13,2275.19,salary,1127.83,groceries,positive,66.0,low,846.24,0,2022,11,2022-11,846.2399999999998
2022-12-11,1983,3549.62,2797.15,0.07,2304.84,normal,690,0.16,639.79,313.85,7,713.24,94,0,722.47,2522.92,salary,906.81,insurance,positive,71.6,high,752.47,0,2022,12,2022-12,752.4699999999998
2023-01-10,1984,4722.51,3075.01,0.34,2922.43,normal,655,0.33,632.85,130.94,3,662.47,82,0,738.87,1951.17,salary,936.35,healthcare,positive,32.4,high,1647.5,0,2023,1,2023-01,1647.5
2023-02-09,1368,3393.56,3409.64,0.4,3043.73,normal,614,0.19,415.4,249.76,4,1264.6,96,0,626.21,3048.68,mixed,920.01,education,neutral,41.1,low,0.0,0,2023,2,2023-02,-16.079999999999927
2023-03-11,1443,4264.95,1818.65,0.09,2964.82,normal,561,0.27,153.88,30.37,8,1429.66,35,0,466.6,3184.95,salary,1485.3,entertainment,negative,27.8,medium,2446.3,0,2023,3,2023-03,2446.2999999999997
2023-04-10,1506,3170.26,2214.21,0.36,2228.47,recession,661,0.28,306.82,466.11,2,1084.61,40,0,925.74,2129.03,salary,1027.2,utilities,negative,67.7,medium,956.05,0,2023,4,2023-04,956.0500000000002
2023-05-10,1942,4573.38,3768.84,0.27,2182.29,normal,749,0.55,146.4,464.62,5,1591.2,86,0,293.81,1930.96,salary,686.66,education,neutral,54.3,medium,804.54,0,2023,5,2023-05,804.54
2023-06-09,1353,2800.92,1663.92,0.24,2369.23,normal,657,0.17,125.73,553.6,4,1420.61,82,0,487.92,2253.56,freelance,1787.83,education,positive,23.0,low,1137.0,0,2023,6,2023-06,1137.0
2023-07-09,1477,5578.55,2600.71,0.06,1942.39,recession,700,0.45,262.58,813.12,3,1379.9,74,0,473.79,2580.57,freelance,1051.48,healthcare,negative,53.8,medium,2977.84,1,2023,7,2023-07,2977.84
2023-08-08,1657,4078.42,2546.59,0.33,2892.13,recession,630,0.37,589.78,690.28,8,1376.49,22,0,784.24,1158.34,salary,1571.24,groceries,positive,6.3,low,1531.83,0,2023,8,2023-08,1531.83
2023-09-07,1275,4116.03,2919.91,0.14,2697.48,normal,688,0.53,485.74,386.86,9,897.14,76,0,228.4,2745.38,salary,916.7,healthcare,positive,64.1,low,1196.12,0,2023,9,2023-09,1196.12
2023-10-07,1908,4268.09,2534.99,0.13,1820.82,recession,750,0.5,470.08,499.18,3,928.08,80,0,430.83,2556.3,freelance,1076.83,utilities,positive,76.0,low,1733.1,0,2023,10,2023-10,1733.1000000000004
2023-11-06,1585,5466.77,3518.15,0.15,3075.67,normal,675,0.33,300.01,419.52,8,872.66,29,0,555.2,2010.92,salary,1257.5,education,positive,87.6,low,1948.62,0,2023,11,2023-11,1948.6200000000003
2019-01-01,1177,3593.89,3401.82,0.25,2155.52,normal,619,0.13,725.61,698.79,7,1860.17,96,0,348.61,3220.52,salary,862.47,insurance,positive,68.3,high,192.07,0,2019,1,2019-01,192.0699999999997
2019-01-31,1900,5216.32,3003.14,0.25,3287.03,normal,695,0.25,322.61,207.54,4,429.86,25,0,152.69,1446.48,mixed,1084.08,entertainment,negative,77.3,low,2213.18,0,2019,1,2019-01,2213.18
2019-03-02,1213,3997.43,2243.56,0.16,2257.94,normal,683,0.45,399.33,705.24,2,466.72,32,0,776.76,2170.57,salary,2614.62,education,neutral,37.1,medium,1753.87,0,2019,3,2019-03,1753.87
2019-04-01,1855,4838.69,4392.42,0.26,3274.63,recession,645,0.5,723.09,919.03,7,1226.78,87,0,470.58,1931.79,salary,936.57,groceries,positive,23.8,low,446.27,0,2019,4,2019-04,446.2699999999995
2019-05-01,1094,3613.29,1069.2,0.25,3365.82,recession,649,0.48,516.49,465.08,8,609.45,93,0,226.87,3212.17,freelance,485.97,groceries,neutral,99.4,high,2544.09,0,2019,5,2019-05,2544.09
2019-05-31,1900,4055.69,4699.43,0.16,1905.94,normal,764,0.41,262.43,483.13,6,354.31,24,0,342.8,1307.91,mixed,860.13,transportation,neutral,38.0,low,0.0,0,2019,5,2019-05,-643.7400000000002
2019-06-30,1483,4533.65,3390.89,0.16,2109.21,normal,658,0.27,568.54,122.02,7,1332.26,84,0,870.45,3362.31,mixed,2114.22,investments,neutral,25.8,high,1142.76,0,2019,6,2019-06,1142.7599999999998
2019-07-30,1512,5532.8,810.91,0.32,2731.72,inflation,691,0.14,416.89,228.69,9,1635.48,59,0,545.09,2136.32,mixed,1562.54,investments,positive,45.2,medium,4721.89,1,2019,7,2019-07,4721.89
2019-08-29,1458,5295.24,1740.05,0.11,3118.97,normal,726,0.16,525.73,356.75,8,1003.08,24,0,811.35,1293.6,freelance,1000.74,transportation,positive,72.3,low,3555.19,1,2019,8,2019-08,3555.1899999999996
2019-09-28,1038,3705.56,2972.45,0.18,2874.56,normal,692,0.11,686.14,0.0,4,1420.62,77,0,47.46,1052.47,salary,1347.05,groceries,negative,97.4,medium,733.11,0,2019,9,2019-09,733.1100000000001
2019-10-28,1595,4521.79,3131.93,0.37,3025.06,normal,645,0.41,280.93,303.34,1,1013.99,90,0,187.14,1731.05,salary,368.58,entertainment,negative,62.2,high,1389.86,0,2019,10,2019-10,1389.8600000000001
2019-11-27,1205,3629.51,3352.63,0.06,2658.66,normal,727,0.39,4.73,495.41,7,1294.54,23,0,532.19,2227.09,salary,1465.63,education,neutral,73.8,low,276.88,0,2019,11,2019-11,276.8800000000001
2019-12-27,1511,2586.17,2534.03,0.09,2409.44,inflation,613,0.56,604.13,979.88,7,185.58,34,0,679.0,2078.09,salary,1681.8,healthcare,positive,50.3,medium,52.14,0,2019,12,2019-12,52.13999999999987
2020-01-26,1084,3677.05,2276.04,0.17,3074.08,normal,753,0.57,366.83,601.09,9,834.09,36,0,146.24,2715.84,salary,1441.28,groceries,positive,74.5,medium,1401.01,0,2020,1,2020-01,1401.0100000000002
2020-02-25,1799,3285.42,2691.73,0.21,2966.68,recession,714,0.47,706.65,406.24,7,195.09,76,0,586.33,1361.88,salary,1121.37,entertainment,positive,33.8,high,593.69,0,2020,2,2020-02,593.69
2020-03-26,1866,3814.84,2020.61,0.14,2757.38,recession,670,0.18,367.81,666.47,8,1872.93,37,0,537.93,2462.69,freelance,465.23,healthcare,positive,96.9,low,1794.23,0,2020,3,2020-03,1794.2300000000002
2020-04-25,1949,2282.15,1808.42,0.08,2036.74,normal,612,0.43,573.76,489.73,5,486.95,93,0,438.09,2490.75,salary,928.5,investments,positive,55.7,low,473.73,0,2020,4,2020-04,473.73
2020-05-25,1730,4003.62,4254.45,0.17,2560.16,normal,628,0.46,660.45,767.32,1,794.26,57,0,525.02,1000.0,salary,1609.61,insurance,positive,71.8,low,0.0,0,2020,5,2020-05,-250.82999999999993
2020-06-24,1355,4169.75,3064.38,0.39,3289.28,normal,658,0.24,633.69,759.34,8,1040.06,60,0,384.05,3045.44,salary,1556.05,insurance,positive,46.4,medium,1105.37,0,2020,6,2020-06,1105.37
2020-07-24,1166,4154.59,3070.33,0.37,3168.63,inflation,682,0.35,634.79,475.69,9,723.56,53,0,563.52,2297.94,mixed,2222.8,investments,positive,93.6,high,1084.26,0,2020,7,2020-07,1084.2600000000002
2020-08-23,1694,5530.99,996.21,0.26,1673.99,inflation,668,0.1,563.79,597.11,6,1304.41,50,0,437.43,1887.29,salary,1249.45,utilities,neutral,69.7,high,4534.78,1,2020,8,2020-08,4534.78
2020-09-22,1230,2249.0,4408.99,0.1,3479.97,inflation,681,0.35,832.77,312.28,4,1475.67,73,0,226.64,1547.2,salary,1380.6,investments,positive,9.6,low,0.0,0,2020,9,2020-09,-2159.99
2020-10-22,1306,4108.07,2591.19,0.2,3900.31,recession,668,0.1,298.17,41.32,2,669.87,76,0,400.19,2157.76,salary,1484.8,transportation,positive,28.8,medium,1516.88,0,2020,10,2020-10,1516.8799999999997
2020-11-21,1856,3281.77,2937.27,0.09,2975.45,normal,621,0.22,91.88,625.54,6,1642.86,89,0,579.78,2982.26,salary,1094.01,dining out,positive,40.7,low,344.5,0,2020,11,2020-11,344.5
2020-12-21,1310,3642.2,1872.49,0.25,1972.05,normal,721,0.16,782.47,423.27,2,1139.84,50,0,408.48,2303.32,salary,1540.2,insurance,neutral,4.5,low,1769.71,0,2020,12,2020-12,1769.7099999999998
2021-01-20,1332,3463.41,3271.94,0.08,2743.33,normal,604,0.16,415.25,396.61,5,1464.46,45,0,221.86,1895.09,salary,1585.15,healthcare,neutral,91.8,high,191.47,0,2021,1,2021-01,191.4699999999998
2021-02-19,1071,4599.21,3564.07,0.3,3528.02,inflation,657,0.37,385.63,736.26,6,503.96,21,0,606.22,2307.27,salary,1451.61,utilities,positive,61.4,low,1035.14,0,2021,2,2021-02,1035.1399999999999
2021-03-21,1371,3375.82,2627.31,0.07,3402.61,normal,661,0.23,885.3,580.03,2,532.31,87,1,459.21,2665.28,salary,1306.39,insurance,negative,23.5,medium,748.51,0,2021,3,2021-03,748.5100000000002
2021-04-20,1938,4023.87,1360.32,0.17,3357.66,recession,740,0.21,470.65,0.0,7,2018.03,77,0,830.19,2651.21,salary,851.6,healthcare,positive,87.0,low,2663.55,0,2021,4,2021-04,2663.55
2021-05-20,1260,4976.02,3902.74,0.27,2370.54,normal,535,0.43,1151.87,318.52,5,592.64,58,0,346.96,2214.83,salary,815.3,insurance,positive,93.5,low,1073.28,0,2021,5,2021-05,1073.2800000000007
2021-06-19,1277,3874.19,2673.9,0.06,3160.19,inflation,709,0.42,359.9,0.0,9,192.49,21,0,826.7,2111.3,salary,1239.34,utilities,positive,22.5,medium,1200.29,0,2021,6,2021-06,1200.29
2021-07-19,1446,3539.63,1192.31,0.07,2554.84,normal,731,0.4,680.77,130.48,3,303.31,91,0,641.53,1446.19,freelance,1269.19,transportation,negative,34.0,low,2347.32,0,2021,7,2021-07,2347.32
2021-08-18,1917,2832.28,4716.8,0.39,2712.04,normal,648,0.23,346.02,479.85,1,1165.48,68,0,390.53,2336.89,salary,1179.15,insurance,negative,63.3,medium,0.0,0,2021,8,2021-08,-1884.52
2021-09-17,1209,3456.66,2910.41,0.3,3457.95,normal,611,0.48,492.74,222.84,7,592.01,68,0,429.48,2045.01,salary,670.0,groceries,neutral,10.7,low,546.25,0,2021,9,2021-09,546.25
2021-10-17,1896,2954.93,5011.59,0.19,3533.22,inflation,696,0.35,324.05,608.22,1,959.69,69,0,516.68,2701.17,salary,1902.67,rent,neutral,1.0,high,0.0,0,2021,10,2021-10,-2056.6600000000003
2021-11-16,1335,4374.48,4704.11,0.2,2581.05,normal,666,0.28,791.63,275.37,9,543.07,51,0,163.42,2079.27,freelance,1375.16,dining out,positive,48.0,high,0.0,0,2021,11,2021-11,-329.6300000000001
2021-12-16,1604,3185.98,1721.25,0.15,2148.24,normal,613,0.32,421.45,403.33,1,959.2,56,0,453.23,1440.94,salary,812.36,insurance,positive,98.9,low,1464.73,0,2021,12,2021-12,1464.73
2022-01-15,1895,3150.47,2759.67,0.05,2711.72,inflation,753,0.16,538.51,418.16,6,689.26,52,0,748.25,1384.25,salary,1101.52,transportation,neutral,8.8,low,390.8,0,2022,1,2022-01,390.7999999999997
2022-02-14,1662,3797.06,2792.7,0.37,2453.8,inflation,690,0.34,372.48,25.42,1,1593.13,63,0,920.17,2452.58,salary,1380.33,dining out,positive,97.7,low,1004.36,0,2022,2,2022-02,1004.3600000000001
2022-03-16,1461,3152.89,1886.08,0.13,3334.43,inflation,754,0.54,728.33,325.3,9,988.54,61,0,329.4,1350.44,salary,642.61,insurance,positive,57.6,low,1266.81,0,2022,3,2022-03,1266.81
2022-04-15,1243,4953.73,3013.09,0.31,2929.87,inflation,651,0.56,1110.26,521.1,9,1472.05,88,0,517.53,1553.91,salary,557.02,dining out,negative,45.5,medium,1940.64,0,2022,4,2022-04,1940.6399999999994
2022-05-15,1894,5299.48,2460.74,0.34,3367.14,recession,636,0.25,496.16,264.36,4,295.52,49,0,508.35,2556.54,salary,1281.91,groceries,neutral,38.1,low,2838.74,0,2022,5,2022-05,2838.74
2022-06-14,1446,3266.25,1380.33,0.23,2511.99,normal,708,0.19,164.61,464.44,7,1085.1,97,0,407.98,2656.32,salary,720.27,groceries,positive,99.5,high,1885.92,0,2022,6,2022-06,1885.92
2022-07-14,1827,3805.09,2046.66,0.38,2905.7,normal,741,0.27,232.36,306.77,8,980.8,75,0,505.06,2657.53,salary,818.8,entertainment,positive,76.2,low,1758.43,0,2022,7,2022-07,1758.43
2022-08-13,1063,4695.21,4526.43,0.2,2232.93,normal,746,0.52,149.62,1114.32,1,1174.05,86,0,721.25,1585.08,salary,1277.59,investments,positive,4.4,medium,168.78,0,2022,8,2022-08,168.77999999999975
2022-09-12,1579,3062.59,2374.18,0.37,2715.38,normal,691,0.28,492.44,312.53,6,1952.76,49,0,799.8,2231.37,freelance,1034.37,investments,neutral,33.3,medium,688.41,0,2022,9,2022-09,688.4100000000003
2022-10-12,1866,2567.88,2611.7,0.22,3408.13,normal,663,0.41,505.42,0.0,1,397.39,32,0,399.37,1913.29,freelance,1856.11,investments,positive,4.9,high,0.0,0,2022,10,2022-10,-43.81999999999971
2022-11-11,1737,3564.15,2364.97,0.26,2846.31,inflation,711,0.14,544.1,48.06,4,397.5,68,0,285.79,2412.89,salary,930.95,insurance,negative,53.1,medium,1199.18,0,2022,11,2022-11,1199.1800000000003
2022-12-11,1370,3018.3,2843.89,0.18,2417.01,normal,635,0.36,722.82,438.22,3,997.38,71,0,687.59,2514.67,freelance,1535.2,utilities,positive,7.1,high,174.41,0,2022,12,2022-12,174.4100000000003
2023-01-10,1807,4385.93,2446.52,0.37,2618.46,normal,718,0.19,608.8,249.26,9,1121.99,31,0,389.61,2473.45,salary,1307.07,education,positive,50.0,high,1939.41,0,2023,1,2023-01,1939.4100000000003
2023-02-09,1214,3365.37,4409.87,0.28,2178.54,normal,683,0.22,626.78,706.14,7,1014.1,54,0,315.23,2725.96,mixed,1455.59,entertainment,negative,52.2,low,0.0,0,2023,2,2023-02,-1044.5
2023-03-11,1128,4797.98,3844.56,0.3,3441.53,normal,685,0.18,615.87,331.69,6,665.9,83,0,783.88,2484.2,salary,1231.69,dining out,positive,89.1,low,953.42,0,2023,3,2023-03,953.4199999999996
2023-04-10,1048,3940.12,3005.82,0.29,2963.31,normal,665,0.37,376.16,231.16,6,700.32,46,0,347.27,2089.57,freelance,2043.99,transportation,positive,54.4,medium,934.3,0,2023,4,2023-04,934.2999999999997
2023-05-10,1453,4576.18,2464.61,0.14,3021.33,recession,751,0.56,547.0,524.2,2,1394.16,36,0,526.62,1719.7,freelance,418.92,transportation,positive,12.1,high,2111.57,0,2023,5,2023-05,2111.57
2023-06-09,1386,5111.08,3601.36,0.12,2685.73,inflation,698,0.21,260.95,278.3,3,1016.3,45,0,848.56,2091.46,salary,660.59,education,neutral,15.6,medium,1509.72,0,2023,6,2023-06,1509.7199999999998
2023-07-09,1962,5514.81,2614.04,0.08,3259.67,normal,703,0.11,809.86,28.65,3,1074.75,81,0,450.6,2559.54,freelance,1385.43,rent,positive,58.3,low,2900.77,0,2023,7,2023-07,2900.7700000000004
2023-08-08,1701,3737.87,3199.86,0.31,1513.22,normal,647,0.18,345.65,633.55,4,1414.24,74,0,611.22,2706.64,salary,1378.12,insurance,positive,25.4,low,538.01,0,2023,8,2023-08,538.0099999999998
2023-09-07,1978,2788.49,2128.48,0.19,2728.76,normal,671,0.14,921.83,394.93,5,640.45,64,0,487.03,1893.97,freelance,856.72,entertainment,positive,11.4,low,660.01,0,2023,9,2023-09,660.0099999999998
2023-10-07,1410,3145.16,2220.45,0.32,3615.97,normal,608,0.52,537.63,821.14,6,593.19,37,0,778.07,2165.56,salary,1445.45,entertainment,negative,99.7,low,924.71,0,2023,10,2023-10,924.71
2023-11-06,1389,3360.3,5853.2,0.12,3016.99,normal,693,0.57,565.83,392.04,5,1104.14,50,0,887.86,2093.06,salary,1119.7,dining out,positive,31.7,medium,0.0,0,2023,11,2023-11,-2492.8999999999996
2019-01-01,1997,2578.18,2314.4,0.07,2979.66,recession,771,0.33,487.37,654.57,2,1538.03,32,0,449.34,1991.85,salary,1062.6,dining out,positive,31.5,high,263.78,0,2019,1,2019-01,263.77999999999975
2019-01-31,1577,4532.96,2762.25,0.36,2286.6,normal,664,0.37,509.45,299.82,9,1262.0,92,0,366.62,2385.74,salary,1465.27,utilities,neutral,19.1,medium,1770.71,0,2019,1,2019-01,1770.71
2019-03-02,1965,6148.1,3555.9,0.25,2624.66,recession,660,0.13,978.84,423.54,1,178.61,45,0,530.47,2209.22,salary,1199.77,investments,negative,1.3,low,2592.2,0,2019,3,2019-03,2592.2000000000003
